Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
ReplaceAllNonRegex;Java/Performance;Non-regex 'replaceAll()' can be replaced with 'replace()';JAVA;LOCAL;0.00;0.00%;0;4
InstantiatingAThreadWithDefaultRunMethod;Java/Threading issues;Instantiating a 'Thread' with default 'run()' method;JAVA;LOCAL;0.00;0.00%;0;4
IdempotentLoopBody;Java/Control flow issues;Idempotent loop body;JAVA;LOCAL;0.00;0.00%;0;4
FinalizeCalledExplicitly;Java/Finalization;'finalize()' called explicitly;JAVA;LOCAL;0.00;0.00%;0;4
SlowAbstractSetRemoveAll;Java/Performance;Call to 'set.removeAll(list)' may work slowly;JAVA;LOCAL;0.00;0.00%;0;4
ConfusingMainMethod;Java/Probable bugs;Confusing 'main()' method;JAVA;LOCAL;0.00;0.00%;0;4
SuspiciousRegexArgument;Java/Probable bugs;Suspicious regex expression argument;JAVA;LOCAL;0.00;0.00%;0;4
RedundantUnmodifiable;Java/Verbose or redundant code constructs;Redundant usage of unmodifiable collection wrappers;JAVA;LOCAL;0.00;0.00%;0;4
LongLiteralEndingWithLowercaseL;Java/Numeric issues;'long' literal ending with 'l' instead of 'L';JAVA;LOCAL;0.00;0.00%;0;4
OptionalGetWithoutIsPresent;Java/Probable bugs;Optional.get() is called without isPresent() check;JAVA;LOCAL;0.00;0.00%;0;4
NonAtomicOperationOnVolatileField;Java/Threading issues;Non-atomic operation on 'volatile' field;JAVA;LOCAL;0.00;0.00%;0;4
ReturnInsideFinallyBlock;Java/Error handling;'return' inside 'finally' block;UAST;LOCAL;0.00;0.00%;0;4
OptionalIsPresent;Java/Code style issues;Non functional style 'Optional.isPresent()' usage;JAVA;LOCAL;0.00;0.00%;0;4
RedundantOperationOnEmptyContainer;Java/Probable bugs;Redundant operation on empty container;JAVA;LOCAL;0.00;0.00%;0;4
ClassExplicitlyExtendsObject;Java/Code style issues;Class explicitly extends 'Object';JAVA;LOCAL;0.00;0.00%;0;4
LoopStatementThatDoesntLoop;Java/Control flow issues;Loop statement that does not loop;JAVA;LOCAL;0.00;0.00%;0;4
RedundantLengthCheck;Java/Verbose or redundant code constructs;Redundant array length check;JAVA;LOCAL;0.00;0.00%;0;4
ConstantConditionalExpression;Java/Control flow issues;Constant conditional expression;JAVA;LOCAL;0.00;0.00%;0;4
KotlinJvmAnnotationInJava;Kotlin/Java interop issues;Kotlin JVM annotation in Java;JAVA;LOCAL;0.00;0.00%;0;4
CloneDoesntDeclareCloneNotSupportedException;Java/Cloning issues;'clone()' does not declare 'CloneNotSupportedException';JAVA;LOCAL;0.00;0.00%;0;4
MismatchedJavadocCode;Java/Javadoc;Mismatch between Javadoc and code;JAVA;LOCAL;0.00;0.00%;0;4
CatchMayIgnoreException;Java/Error handling;Catch block may ignore exception;JAVA;LOCAL;0.00;0.00%;0;4
IOStreamConstructor;Java/Performance;'InputStream' and 'OutputStream' can be constructed using 'Files' methods;JAVA;LOCAL;0.00;0.00%;0;4
OverflowingLoopIndex;Java/Probable bugs;Loop executes zero or billions of times;JAVA;LOCAL;0.00;0.00%;0;4
InnerClassMayBeStatic;Java/Memory;Inner class may be 'static';JAVA;LOCAL;0.00;0.00%;0;4
WrongPackageStatement;Java/Probable bugs;Wrong package statement;JAVA;LOCAL;0.00;0.00%;0;4
ComparisonToNaN;Java/Numeric issues;Comparison to 'Double.NaN' or 'Float.NaN';JAVA;LOCAL;0.00;0.00%;0;4
MetaAnnotationWithoutRuntimeRetention;Java/JUnit;Test annotation without '@Retention(RUNTIME)' annotation;JAVA;LOCAL;0.00;0.00%;0;4
PatternVariableHidesField;Java/Visibility;Pattern variable hides field;JAVA;LOCAL;0.00;0.00%;0;4
EmptyClassInitializer;Java/Declaration redundancy;Empty class initializer;JAVA;LOCAL;0.00;0.00%;0;4
CachedNumberConstructorCall;Java/Numeric issues;Number constructor call with primitive argument;JAVA;LOCAL;0.00;0.00%;0;4
UnnecessaryContinue;Java/Verbose or redundant code constructs;Unnecessary 'continue' statement;JAVA;LOCAL;0.00;0.00%;0;4
BigDecimalMethodWithoutRoundingCalled;Java/Numeric issues;Call to 'BigDecimal' method without a rounding mode argument;JAVA;LOCAL;0.00;0.00%;0;4
UnnecessaryModifier;Java/Code style issues;Unnecessary modifier;JAVA;LOCAL;0.00;0.00%;0;4
PointlessArithmeticExpression;Java/Numeric issues;Pointless arithmetic expression;JAVA;LOCAL;0.00;0.00%;0;4
EmptyFinallyBlock;Java/Error handling;Empty 'finally' block;JAVA;LOCAL;0.00;0.00%;0;4
FinalMethodInFinalClass;Java/Declaration redundancy;'final' method in 'final' class;JAVA;LOCAL;0.00;0.00%;0;4
FinalPrivateMethod;Java/Class structure;'private' method declared 'final';JAVA;LOCAL;0.00;0.00%;0;4
ContinueOrBreakFromFinallyBlock;Java/Error handling;'continue' or 'break' inside 'finally' block;JAVA;LOCAL;0.00;0.00%;0;4
FinalStaticMethod;Java/Class structure;'static' method declared 'final';JAVA;LOCAL;0.00;0.00%;0;4
RedundantTypeArguments;Java/Verbose or redundant code constructs;Redundant type arguments;JAVA;LOCAL;0.00;0.00%;0;4
SuspiciousInvocationHandlerImplementation;Java/Probable bugs;Suspicious 'InvocationHandler' implementation;JAVA;LOCAL;0.00;0.00%;0;4
ExplicitArrayFilling;Java/Verbose or redundant code constructs;Explicit array filling;JAVA;LOCAL;0.00;0.00%;0;4
MismatchedReadAndWriteOfArray;Java/Probable bugs;Mismatched read and write of array;JAVA;LOCAL;0.00;0.00%;0;4
