# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.update.unloaded.entities.ms,1781083788946000000,1781083848958000000,0
workspaceModel.check.recursive.update.ms,1781083788946000000,1781083848958000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1781083788946000000,1781083848958000000,0
workspaceModel.on.before.changed.ms,1781083788946000000,1781083848958000000,57
workspaceModel.full.replace.project.model.ms,1781083788946000000,1781083848958000000,65
workspaceModel.on.changed.ms,1781083788946000000,1781083848958000000,203
workspaceModel.replace.project.model.ms,1781083788946000000,1781083848958000000,35
workspaceModel.entityStorageSnapshotImpl.instances.count,1781083788946000000,1781083848958000000,37
workspaceModel.initializing.ms,1781083788946000000,1781083848958000000,12
workspaceModel.cachedValueWithParameters.calculated.count,1781083788946000000,1781083848958000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1781083788946000000,1781083848958000000,0
workspaceModel.to.snapshot.ms,1781083788946000000,1781083848958000000,0
workspaceModel.collect.changes.ms,1781083788946000000,1781083848958000000,0
workspaceModel.loading.from.cache.ms,1781083788946000000,1781083848958000000,18
workspaceModel.non.incremental.contributors.file.sets.computation.time.ms,1781083788946000000,1781083848958000000,3
workspaceModel.init.bridges.ms,1781083788946000000,1781083848958000000,16
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1781083788946000000,1781083848958000000,9
workspaceModel.workspaceFileIndexData.init.ms,1781083788946000000,1781083848958000000,0
workspaceModel.non.incremental.contributors.total.update.time.ms,1781083788946000000,1781083848958000000,4
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1781083788946000000,1781083848958000000,544
workspaceModel.cachedValueWithParameters.total.get.count,1781083788946000000,1781083848958000000,0
workspaceModel.cachedValue.from.cache.count,1781083788946000000,1781083848958000000,188
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1781083788946000000,1781083848958000000,25
workspaceModel.cachedValue.calculated.count,1781083788946000000,1781083848958000000,33
FileNameCache.totalMisses,1781083788946000000,1781083848958000000,62656
VFS.fileByIdCache.misses,1781083788946000000,1781083848958000000,5
VFS.contentStorage.recordsReadSize,1781083788946000000,1781083848958000000,29438
VFS.rootsCount,1781083788946000000,1781083848958000000,69.0
VFS.folderCaseSensitivityReads,1781083788946000000,1781083848958000000,69
VFS.contentStorage.recordsUncompressedSize,1781083788946000000,1781083848958000000,26757
VFS.cache.directoriesCreated,1781083788946000000,1781083848958000000,5163
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1781083788946000000,1781083848958000000,0
VFS.ContentWriter.totalTasksExecutedSync,1781083788946000000,1781083848958000000,0
VFS.ContentWriter.totalFlushes,1781083788946000000,1781083848958000000,0
VFS.fileChildByName,1781083788946000000,1781083848958000000,16135
